"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2016 LG10)","2108-2120","5","2.6e-6","8.69","25.5","0.027","-6.17","-6.53","0","bK16L10G"
"(2008 VM)","2031-2031","2","4.6e-5","10.27","30.2","0.003","-6.17","-6.28","0","bK08V00M"
"(2008 KN11)","2046-2046","1","4.2e-8","13.83","23.3","0.075","-6.17","-6.17","0","bK08K11N"
"(2015 UR67)","2091-2103","3","4.1e-6","11.63","26.3","0.019","-6.17","-6.17","0","bK15U67R"
"(2022 CA1)","2055-2122","18","2.3e-5","3.78","27.3","0.012","-6.18","-6.55","0","bK22C01A"
"(2009 WQ25)","2094-2106","2","2.4e-7","16.89","24.0","0.053","-6.18","-6.26","0","bK09W25Q"
"(2020 BB5)","2092-2121","17","2.5e-4","8.82","29.7","0.004","-6.18","-6.20","0","bK20B05B"
"(2016 TQ18)","2086-2110","3","5.8e-6","9.59","26.3","0.019","-6.18","-6.22","0","bK16T18Q"
"(2008 LD)","2054-2122","152","1.2e-4","4.13","28.9","0.006","-6.19","-6.99","0","bK08L00D"
"(2021 DG)","2044-2072","9","1.7e-4","12.90","30.2","0.003","-6.19","-6.37","0","bK21D00G"
"(2016 JA6)","2081-2118","16","4.9e-6","11.34","26.4","0.018","-6.19","-6.47","0","bK16J06A"
"(2021 QW)","2090-2118","3","1.8e-7","12.46","23.4","0.072","-6.19","-6.49","0","bK21Q00W"
"(2013 YB)","2022-2054","21","7.5e-5","8.95","31.4","0.002","-6.19","-6.48","0","bK13Y00B"
"(2017 YE8)","2113-2118","7","1.9e-6","14.22","25.5","0.027","-6.19","-6.30","0","bK17Y08E"
"(2016 AB166)","2106-2108","3","3.2e-7","21.61","24.4","0.044","-6.19","-6.32","0","bK16AG6B"
"(2011 TO)","2064-2064","1","2.9e-6","8.55","26.3","0.018","-6.20","-6.20","0","bK11T00O"
"(2015 KE319)","2046-2059","2","1.7e-6","12.38","26.6","0.016","-6.20","-6.22","0","bK15KV9E"
"(2005 TM173)","2027-2048","2","2.7e-8","9.59","23.9","0.056","-6.20","-6.20","0","bK05TH3M"
"(2007 PR25)","2118-2118","1","1.3e-8","29.41","21.9","0.140","-6.20","-6.20","0","bK07P25R"
"(2017 TW5)","2064-2121","16","5.5e-6","15.27","27.0","0.013","-6.20","-6.30","0","bK17T05W"
"(2002 UV36)","2087-2087","1","6.9e-6","8.06","26.7","0.016","-6.20","-6.20","0","bK02U36V"
"(2015 XR169)","2049-2121","380","6.8e-5","9.53","28.8","0.006","-6.20","-7.11","0","bK15XG9R"
"(2021 VQ10)","2032-2117","72","5.9e-6","14.26","27.2","0.012","-6.20","-7.11","0","bK21V10Q"
"(2020 TF6)","2056-2076","6","8.9e-6","12.54","27.6","0.010","-6.21","-6.50","0","bK20T06F"
"(2019 VH)","2065-2118","31","1.6e-5","8.22","27.7","0.010","-6.21","-6.36","0","bK19V00H"
"(2022 AU)","2084-2118","74","1.2e-4","7.11","29.1","0.005","-6.21","-6.44","0","bK22A00U"
"(2020 OM6)","2106-2106","1","1.6e-6","5.05","25.0","0.034","-6.22","-6.22","0","bK20O06M"
"(2006 SR131)","2045-2121","85","2.7e-5","8.46","28.0","0.009","-6.22","-6.86","0","bK06SD1R"
"(2019 MT2)","2079-2121","13","5.0e-6","11.37","26.4","0.018","-6.23","-6.64","0","bK19M02T"
"(2022 OB5)","2084-2122","54","1.1e-4","1.84","28.8","0.006","-6.23","-7.02","0","bK22O05B"
"(2004 RU109)","2034-2053","7","1.2e-6","12.93","26.5","0.017","-6.24","-6.57","0","bK04RA9U"
"(2010 UE51)","2102-2121","16","8.0e-5","0.34","28.3","0.007","-6.24","-7.15","0","bK10U51E"
"(2020 PC)","2069-2121","76","3.7e-5","1.46","28.0","0.009","-6.24","-6.68","0","bK20P00C"
"(2022 KF6)","2068-2107","3","2.1e-6","10.02","25.8","0.023","-6.24","-6.51","0","bK22K06F"
"(2012 CL17)","2096-2115","16","1.1e-6","21.49","25.7","0.024","-6.25","-6.68","0","bK12C17L"
"(2018 VT5)","2086-2120","63","5.2e-5","9.55","28.4","0.007","-6.25","-6.79","0","bK18V05T"
"(2003 WT153)","2042-2121","132","2.9e-5","4.33","28.1","0.008","-6.26","-6.93","0","bK03WF3T"
"(2021 NL8)","2073-2120","25","4.4e-6","9.88","26.4","0.018","-6.26","-6.74","0","bK21N08L"
"(2014 HN2)","2095-2121","5","8.4e-6","2.57","26.3","0.018","-6.26","-6.27","0","bK14H02N"
"(2017 SU17)","2055-2119","59","3.0e-5","8.32","28.0","0.008","-6.26","-6.78","0","bK17S17U"
"(2021 VT4)","2058-2108","3","2.7e-6","19.89","27.1","0.013","-6.26","-6.29","0","bK21V04T"
"(2021 CU1)","2059-2120","41","5.7e-5","8.34","28.6","0.006","-6.27","-6.58","0","bK21C01U"
"(2018 DZ3)","2068-2113","3","4.9e-6","10.05","26.4","0.018","-6.27","-6.33","0","bK18D03Z"
"(2007 EH26)","2097-2118","6","2.5e-7","20.01","24.2","0.048","-6.27","-6.52","0","bK07E26H"
"(2020 CQ)","2051-2112","5","4.0e-6","15.25","27.0","0.013","-6.27","-6.47","0","bK20C00Q"
"(2014 CE)","2108-2120","8","9.2e-6","13.04","27.0","0.013","-6.27","-6.41","0","bK14C00E"
"(2021 DA2)","2064-2121","72","9.9e-5","6.92","29.2","0.005","-6.27","-6.87","0","bK21D02A"
"(2021 US1)","2087-2120","9","2.9e-5","2.87","27.7","0.010","-6.28","-6.52","0","bK21U01S"
"(2021 CJ3)","2062-2081","6","8.6e-6","11.37","27.5","0.011","-6.28","-6.44","0","bK21C03J"
"(2008 UA202)","2046-2121","651","1.4e-4","2.30","29.4","0.004","-6.29","-7.21","0","bK08UK2A"
"(2020 QF1)","2102-2102","1","4.2e-5","12.41","28.6","0.006","-6.29","-6.29","0","bK20Q01F"
"(2020 BH)","2104-2120","12","5.5e-5","3.07","28.3","0.008","-6.29","-6.56","0","bK20B00H"
"(2017 DG16)","2077-2115","26","1.3e-4","6.48","29.4","0.004","-6.29","-6.34","0","bK17D16G"
"(2020 CF2)","2108-2120","10","2.6e-5","3.17","27.6","0.010","-6.30","-6.51","0","bK20C02F"
"(2020 HN)","2055-2121","53","3.6e-5","3.44","28.6","0.006","-6.30","-6.52","0","bK20H00N"
"(2019 AB)","2073-2120","9","3.8e-6","9.91","26.2","0.019","-6.30","-6.38","0","bK19A00B"
"(2012 KP24)","2032-2032","1","4.7e-7","12.74","26.4","0.017","-6.30","-6.30","0","bK12K24P"
"(2021 PK4)","2060-2076","11","1.5e-5","12.00","28.1","0.008","-6.30","-6.38","0","bK21P04K"
"(2021 UN)","2050-2089","15","2.4e-5","13.05","28.8","0.006","-6.30","-6.53","0","bK21U00N"
"(2011 BU59)","2089-2120","17","3.2e-6","11.32","26.1","0.020","-6.31","-6.63","0","bK11B59U"
"(2018 VC)","2109-2119","6","5.9e-6","4.96","26.3","0.019","-6.31","-6.41","0","bK18V00C"
"(2011 UC64)","2084-2121","44","1.8e-5","14.05","27.9","0.009","-6.31","-6.99","0","bK11U64C"
"(2009 FP32)","2073-2122","32","1.3e-5","15.06","27.8","0.010","-6.31","-7.00","0","bK09F32P"
"(2014 SR261)","2058-2118","14","3.0e-6","15.25","26.8","0.015","-6.31","-6.52","0","bK14SQ1R"
"(2021 TV10)","2069-2078","16","1.2e-5","11.68","27.8","0.009","-6.31","-6.53","0","bK21T10V"
"(2010 TD)","2072-2091","7","2.6e-6","18.85","26.9","0.014","-6.32","-6.63","0","bK10T00D"
"(2022 OC3)","2053-2119","74","2.8e-5","3.55","28.3","0.008","-6.32","-6.89","0","bK22O03C"
"(2009 MG1)","2118-2118","1","2.4e-7","16.94","24.1","0.052","-6.32","-6.32","0","bK09M01G"
"(2016 WY)","2091-2121","38","1.3e-4","3.24","29.2","0.005","-6.32","-6.52","0","bK16W00Y"
"(2014 AG51)","2049-2120","55","7.9e-5","14.81","30.0","0.003","-6.32","-6.90","0","bK14A51G"
"(2004 XB45)","2035-2085","4","4.5e-7","17.01","26.3","0.019","-6.32","-6.35","0","bK04X45B"
"(2019 ED1)","2070-2103","13","1.2e-5","9.42","27.5","0.011","-6.33","-6.77","0","bK19E01D"
"(2010 VO139)","2032-2117","101","1.0e-6","20.87","26.5","0.017","-6.33","-7.00","0","bK10VD9O"
"(2017 TA5)","2083-2117","18","9.7e-6","10.72","27.2","0.012","-6.33","-6.92","0","bK17T05A"
"(2004 BN41)","2086-2121","8","2.3e-6","7.77","25.8","0.024","-6.33","-6.67","0","bK04B41N"
"(2021 UZ6)","2106-2118","2","1.4e-6","8.69","25.3","0.030","-6.33","-6.53","0","bK21U06Z"
"(2013 AB65)","2094-2120","17","6.5e-6","24.41","27.6","0.010","-6.34","-6.52","0","bK13A65B"
"(2022 BY39)","2107-2118","2","3.2e-4","2.52","29.9","0.004","-6.34","-6.34","0","bK22B39Y"
"(2021 SO1)","2103-2119","5","9.5e-6","8.60","27.0","0.014","-6.34","-6.47","0","bK21S01O"
"(2021 ST)","2068-2118","10","2.6e-6","8.61","26.0","0.022","-6.34","-6.87","0","bK21S00T"
"(2006 GU2)","2022-2121","95","1.9e-5","7.31","27.8","0.009","-6.35","-7.23","0","bK06G02U"
"(2011 SE191)","2098-2118","4","8.0e-7","14.44","25.1","0.033","-6.35","-6.48","0","bK11SJ1E"
"(2008 TE)","2023-2117","11","5.1e-7","11.80","27.7","0.010","-6.35","-6.35","0","bK08T00E"
"(2008 TS10)","2068-2121","90","7.3e-5","3.18","28.8","0.006","-6.35","-7.38","0","bK08T10S"
"(2021 GB10)","2057-2085","6","2.3e-5","16.75","28.7","0.006","-6.35","-6.83","0","bK21G10B"
"(2007 TX22)","2040-2079","16","2.2e-5","8.85","28.4","0.007","-6.35","-6.98","0","bK07T22X"
"(2013 AG69)","2092-2119","5","7.3e-6","17.35","27.3","0.012","-6.35","-6.50","0","bK13A69G"
"(2019 QS)","2096-2108","2","2.7e-7","21.59","24.8","0.037","-6.36","-6.36","0","bK19Q00S"
"(2011 QF48)","2067-2067","2","3.2e-7","19.92","25.3","0.030","-6.36","-6.49","0","bK11Q48F"
"(2011 UL169)","2057-2073","14","1.4e-5","9.35","28.3","0.007","-6.36","-6.43","0","bK11UG9L"
"(2019 UE4)","2064-2121","30","1.3e-5","11.58","27.7","0.010","-6.36","-6.74","0","bK19U04E"
"(2015 XX378)","2118-2118","1","4.9e-7","15.70","24.7","0.038","-6.36","-6.36","0","bK15Xb8X"
"(2019 KL)","2047-2085","10","1.1e-6","14.21","26.4","0.017","-6.36","-6.62","0","bK19K00L"
"(2020 WF5)","2082-2120","32","1.7e-5","8.62","27.8","0.010","-6.36","-7.08","0","bK20W05F"
"(2021 CZ7)","2040-2117","5","2.0e-5","9.07","28.4","0.007","-6.36","-6.56","0","bK21C07Z"
"(2020 WZ3)","2108-2121","4","4.6e-6","6.31","26.2","0.020","-6.36","-6.44","0","bK20W03Z"
"(2018 XR4)","2062-2117","8","3.4e-6","11.80","26.8","0.015","-6.37","-6.57","0","bK18X04R"
"(2014 OX3)","2108-2120","9","1.5e-5","12.79","27.7","0.010","-6.37","-6.38","0","bK14O03X"
"(2019 TC2)","2103-2121","66","1.9e-5","11.13","27.8","0.009","-6.38","-7.14","0","bK19T02C"
"(2020 MP1)","2105-2105","2","3.0e-6","7.83","26.1","0.021","-6.38","-6.47","0","bK20M01P"
"(2022 EF3)","2088-2088","1","1.3e-5","10.39","27.7","0.010","-6.38","-6.38","0","bK22E03F"
"(2017 AT20)","2040-2121","103","5.6e-6","7.51","27.1","0.013","-6.38","-6.90","0","bK17A20T"
"(2019 GK21)","2099-2103","3","1.5e-6","9.23","25.6","0.026","-6.39","-6.55","0","bK19G21K"
"(2022 KE5)","2075-2115","8","9.6e-6","16.95","27.9","0.009","-6.39","-6.74","0","bK22K05E"
"(2021 VZ22)","2072-2121","31","3.5e-5","9.36","28.3","0.007","-6.39","-7.13","0","bK21V22Z"
"(2015 SG)","2104-2105","2","4.5e-6","7.90","26.4","0.018","-6.39","-6.39","0","bK15S00G"
"(2022 JR1)","2065-2067","2","2.9e-6","19.76","27.4","0.011","-6.40","-6.43","0","bK22J01R"
"(2016 XL23)","2080-2098","3","6.1e-5","9.95","29.3","0.005","-6.40","-6.41","0","bK16X23L"
"(2011 YQ1)","2113-2113","2","1.4e-6","11.65","25.6","0.026","-6.41","-6.43","0","bK11Y01Q"
"(2022 EE3)","2113-2113","1","1.3e-8","27.78","22.3","0.120","-6.42","-6.42","0","bK22E03E"
"(2015 QS8)","2116-2116","1","5.2e-6","8.04","26.5","0.017","-6.42","-6.42","0","bK15Q08S"
"(2021 WC3)","2070-2121","35","3.2e-5","12.90","28.6","0.007","-6.42","-7.10","0","bK21W03C"
"(2021 NM3)","2111-2117","7","5.3e-6","8.21","26.6","0.016","-6.43","-6.50","0","bK21N03M"
"(2021 RS100)","2035-2087","26","7.7e-6","20.02","28.8","0.006","-6.43","-6.85","0","bK21RA0S"
"(2021 FO1)","2075-2121","50","1.1e-4","7.22","29.5","0.004","-6.43","-6.65","0","bK21F01O"
"(2009 EW)","2067-2081","7","1.8e-6","12.82","26.4","0.018","-6.44","-6.64","0","bK09E00W"
"(2021 XK1)","2089-2121","4","3.3e-6","9.10","26.3","0.019","-6.44","-6.67","0","bK21X01K"
"(2012 UU158)","2041-2070","6","2.7e-6","12.27","26.9","0.014","-6.45","-6.48","0","bK12UF8U"
"(2022 GB2)","2058-2108","51","4.2e-5","5.65","28.9","0.006","-6.45","-6.74","0","bK22G02B"
"(2020 PJ6)","2074-2119","20","1.4e-6","2.25","25.6","0.026","-6.46","-6.79","0","bK20P06J"
"(2014 SR223)","2063-2063","1","1.6e-6","15.23","26.7","0.015","-6.46","-6.46","0","bK14SM3R"
"(2011 YC63)","2034-2105","5","4.7e-6","18.83","29.0","0.005","-6.46","-6.47","0","bK11Y63C"
"(2003 KF4)","2120-2120","3","1.2e-7","9.72","23.3","0.075","-6.46","-6.73","0","bK03K04F"
"(2013 PG10)","2056-2121","31","9.5e-6","6.87","27.7","0.010","-6.46","-6.59","0","bK13P10G"
"(2017 WE28)","2039-2099","12","1.8e-6","8.79","26.7","0.015","-6.46","-6.65","0","bK17W28E"
"(2001 SB170)","2095-2095","1","1.5e-8","22.48","22.4","0.110","-6.46","-6.46","0","bK01SH0B"
"(2021 EW1)","2103-2103","1","2.5e-5","8.82","28.2","0.008","-6.46","-6.46","0","bK21E01W"
"(2020 TD7)","2092-2120","13","4.9e-6","9.14","26.8","0.015","-6.47","-6.94","0","bK20T07D"
"(2018 RQ4)","2082-2117","18","6.2e-6","6.76","26.9","0.014","-6.47","-7.06","0","bK18R04Q"
"(2010 FD)","2043-2104","5","1.5e-6","9.74","26.0","0.021","-6.47","-6.56","0","bK10F00D"
"(2005 BS1)","2024-2041","2","7.7e-7","12.36","27.3","0.012","-6.48","-6.72","0","bK05B01S"
"(2017 UK3)","2109-2121","5","6.3e-6","13.37","27.2","0.012","-6.48","-6.68","0","bK17U03K"
"(2015 EG7)","2090-2118","10","6.3e-6","12.80","27.4","0.011","-6.48","-6.56","0","bK15E07G"
"(2013 TV132)","2091-2121","11","3.9e-6","9.15","26.5","0.017","-6.50","-6.95","0","bK13TD2V"
"(2012 EP10)","2056-2121","117","8.5e-5","2.79","29.2","0.005","-6.50","-6.78","0","bK12E10P"
"(2018 FE3)","2118-2118","1","1.0e-5","6.05","27.2","0.012","-6.50","-6.50","0","bK18F03E"
"(2009 WW7)","2059-2121","44","4.5e-5","8.19","28.9","0.006","-6.51","-6.95","0","bK09W07W"
"(2022 BF)","2092-2117","21","4.9e-6","12.26","27.1","0.013","-6.51","-7.05","0","bK22B00F"
"(2021 XZ2)","2113-2116","3","1.2e-6","18.70","26.1","0.021","-6.51","-6.80","0","bK21X02Z"
"(2017 QU34)","2080-2111","10","1.2e-5","14.49","28.3","0.008","-6.52","-6.75","0","bK17Q34U"
"(2010 FN)","2078-2120","15","3.8e-6","6.80","26.6","0.016","-6.52","-7.03","0","bK10F00N"
"(2018 QE)","2046-2121","60","1.5e-5","4.16","27.8","0.009","-6.52","-7.16","0","bK18Q00E"
"(2022 LD)","2122-2122","1","1.0e-7","14.74","23.6","0.066","-6.52","-6.52","0","bK22L00D"
"(2019 NX5)","2069-2121","122","6.5e-5","1.79","29.1","0.005","-6.53","-6.82","0","bK19N05X"
"(2019 BO)","2055-2099","37","1.4e-5","7.27","28.1","0.008","-6.53","-7.15","0","bK19B00O"
"(2007 EZ25)","2078-2100","7","4.1e-7","20.76","25.6","0.026","-6.53","-6.98","0","bK07E25Z"
"(2017 RN16)","2060-2121","64","5.5e-5","8.14","29.1","0.005","-6.53","-6.69","0","bK17R16N"
"(2021 AH)","2043-2108","16","4.1e-6","21.45","28.5","0.007","-6.53","-6.61","0","bK21A00H"
"(2015 CL13)","2090-2106","7","7.5e-7","13.70","25.6","0.025","-6.53","-6.88","0","bK15C13L"
"(2010 TN55)","2086-2117","23","1.9e-6","25.31","27.0","0.013","-6.54","-7.28","0","bK10T55N"
"(2018 LM)","2069-2116","7","1.1e-6","4.88","25.2","0.030","-6.54","-6.84","0","bK18L00M"
"(2018 JL1)","2112-2115","4","5.3e-6","6.16","26.7","0.015","-6.54","-6.70","0","bK18J01L"
"(2012 CU)","2040-2100","3","9.7e-7","10.93","26.0","0.021","-6.54","-6.93","0","bK12C00U"
"(2021 CH37)","2114-2120","7","2.0e-5","7.33","27.9","0.009","-6.54","-7.01","0","bK21C37H"
"(2021 PL132)","2086-2119","5","1.8e-5","12.63","28.5","0.007","-6.54","-6.56","0","bK21PD2L"
"(2009 YR)","2060-2114","17","1.2e-5","3.12","28.0","0.009","-6.55","-6.89","0","bK09Y00R"
"(2021 XZ5)","2067-2114","10","1.7e-5","7.67","28.3","0.007","-6.55","-6.73","0","bK21X05Z"
"(2019 PG)","2101-2115","3","1.4e-6","7.21","25.6","0.026","-6.55","-6.66","0","bK19P00G"
"(2017 TB)","2046-2121","179","5.4e-5","5.78","29.1","0.005","-6.55","-7.20","0","bK17T00B"
"(2019 YM)","2041-2117","2","9.1e-7","17.75","26.0","0.022","-6.56","-6.63","0","bK19Y00M"
"(2022 MH)","2118-2118","3","7.8e-6","11.06","27.4","0.011","-6.57","-6.80","0","bK22M00H"
"(2014 WC201)","2098-2119","11","1.8e-6","11.27","26.1","0.020","-6.58","-7.02","0","bK14WK1C"
"(2008 OO1)","2107-2107","1","2.6e-7","12.96","24.6","0.041","-6.58","-6.58","0","bK08O01O"
"(1997 UA11)","2073-2073","2","3.1e-7","11.96","25.1","0.032","-6.58","-6.64","0","bJ97U11A"
"(2020 PU1)","2047-2117","12","1.6e-6","7.77","26.5","0.017","-6.59","-6.98","0","bK20P01U"
"(2020 JS1)","2075-2114","10","2.4e-6","5.21","26.3","0.018","-6.59","-6.86","0","bK20J01S"
"(2021 JZ5)","2075-2096","40","1.0e-5","16.08","28.3","0.007","-6.59","-6.92","0","bK21J05Z"
"(2017 RP16)","2065-2121","22","4.6e-6","10.33","27.2","0.012","-6.60","-7.06","0","bK17R16P"
"(2019 PO1)","2084-2121","34","1.9e-5","1.96","27.9","0.009","-6.60","-7.18","0","bK19P01O"
"(2022 AE6)","2084-2105","2","7.0e-7","10.30","25.6","0.026","-6.61","-6.72","0","bK22A06E"
"(2008 GV)","2055-2055","1","1.1e-8","19.67","23.0","0.084","-6.61","-6.61","0","bK08G00V"
"(2008 BC15)","2072-2094","2","9.7e-7","20.67","26.6","0.016","-6.62","-6.88","0","bK08B15C"
"(1993 UA)","2111-2111","3","8.5e-7","9.40","25.4","0.028","-6.62","-6.78","0","bJ93U00A"
"(2021 FE2)","2091-2121","3","3.7e-6","10.39","27.0","0.014","-6.63","-6.64","0","bK21F02E"
"(2020 SN6)","2043-2121","340","2.7e-5","5.51","28.8","0.006","-6.63","-7.80","0","bK20S06N"
"(2014 MB6)","2075-2075","1","8.8e-7","13.07","26.2","0.019","-6.63","-6.63","0","bK14M06B"
"(2022 NX)","2088-2121","5","4.1e-6","4.90","26.6","0.016","-6.63","-6.96","0","bK22N00X"
"(2021 UK20)","2028-2121","83","2.3e-5","7.66","28.7","0.006","-6.63","-7.45","0","bK21U20K"
"(2011 CW46)","2068-2115","7","1.4e-7","16.59","24.7","0.039","-6.64","-6.79","0","bK11C46W"
"(2015 WP2)","2077-2121","30","8.4e-5","12.62","30.1","0.003","-6.64","-7.03","0","bK15W02P"
"(2016 NP56)","2057-2057","1","1.1e-6","2.09","26.2","0.019","-6.65","-6.65","0","bK16N56P"
"(2015 FF36)","2073-2117","9","2.1e-6","8.87","26.5","0.017","-6.65","-6.93","0","bK15F36F"
"(2020 GZ1)","2040-2040","2","9.4e-8","28.24","26.0","0.021","-6.65","-6.68","0","bK20G01Z"
"(2017 QT1)","2050-2093","10","5.8e-7","20.29","26.8","0.015","-6.65","-6.79","0","bK17Q01T"
"(2002 VY91)","2112-2119","5","1.7e-6","9.19","26.0","0.021","-6.65","-6.75","0","bK02V91Y"
"(2021 UV1)","2111-2117","3","6.4e-6","10.59","27.4","0.011","-6.65","-6.76","0","bK21U01V"
"(2014 LJ)","2060-2121","175","2.6e-5","3.62","28.5","0.007","-6.66","-7.83","0","bK14L00J"
"(2018 VP6)","2088-2118","5","3.2e-6","12.05","27.2","0.013","-6.66","-6.89","0","bK18V06P"
"(2017 DP109)","2057-2121","6","2.6e-6","12.39","26.9","0.014","-6.66","-6.93","0","bK17DA9P"
"(2020 QJ5)","2053-2111","11","2.4e-6","9.85","26.8","0.015","-6.66","-6.96","0","bK20Q05J"
"(2019 NF7)","2080-2080","1","9.4e-6","9.27","28.1","0.008","-6.66","-6.66","0","bK19N07F"
"(2021 TJ15)","2056-2075","2","6.3e-6","12.19","28.4","0.007","-6.66","-6.66","0","bK21T15J"
"(2015 DQ224)","2045-2054","10","1.5e-5","13.45","29.4","0.004","-6.66","-6.82","0","bK15DM4Q"
"(2021 TO6)","2100-2100","1","2.2e-7","9.12","24.4","0.044","-6.66","-6.66","0","bK21T06O"
"(2022 CU4)","2081-2122","96","6.9e-5","4.42","29.3","0.005","-6.67","-7.47","0","bK22C04U"
"(2020 PU3)","2109-2121","23","3.7e-6","9.54","26.8","0.015","-6.67","-6.98","0","bK20P03U"
"(2019 QE7)","2097-2119","10","2.7e-6","10.19","26.7","0.015","-6.68","-7.05","0","bK19Q07E"
"(2018 LT5)","2066-2095","3","1.6e-7","19.05","25.0","0.034","-6.68","-6.95","0","bK18L05T"
"(2021 FT1)","2097-2097","1","1.0e-7","19.40","24.5","0.043","-6.68","-6.68","0","bK21F01T"
"(2006 BF56)","2092-2120","23","2.4e-5","26.15","29.6","0.004","-6.68","-7.21","0","bK06B56F"
"(2019 DG1)","2118-2118","2","3.5e-6","7.29","26.7","0.016","-6.68","-6.79","0","bK19D01G"
"(2021 RG12)","2085-2121","14","5.5e-5","2.58","29.2","0.005","-6.68","-6.94","0","bK21R12G"
"(2021 UA7)","2046-2059","3","2.6e-6","27.30","28.7","0.006","-6.68","-6.68","0","bK21U07A"
"(2022 CE5)","2103-2116","4","1.3e-8","35.52","23.2","0.078","-6.69","-6.88","0","bK22C05E"
"(2018 AU18)","2046-2118","34","3.1e-6","9.57","27.4","0.011","-6.69","-6.89","0","bK18A18U"
"(2010 VQ98)","2109-2119","3","2.5e-5","0.99","28.2","0.008","-6.69","-6.78","0","bK10V98Q"
"(2017 HJ)","2073-2121","33","3.9e-6","14.83","27.5","0.011","-6.69","-7.55","0","bK17H00J"
"(2007 UT3)","2064-2119","8","6.2e-7","9.03","25.7","0.024","-6.70","-7.00","0","bK07U03T"
"(2013 PS13)","2096-2109","3","2.7e-6","17.26","27.3","0.012","-6.70","-6.72","0","bK13P13S"
"(2010 UR7)","2079-2120","9","3.2e-6","13.30","27.4","0.011","-6.70","-7.06","0","bK10U07R"
"(2012 HE31)","2046-2117","19","8.2e-7","10.60","26.0","0.022","-6.71","-7.48","0","bK12H31E"
"(2018 BC)","2083-2118","39","7.0e-5","2.03","29.4","0.004","-6.71","-7.69","0","bK18B00C"
"(2014 QN266)","2078-2120","9","1.7e-6","2.85","26.2","0.019","-6.71","-6.81","0","bK14QQ6N"
"(2018 GS3)","2119-2119","1","5.3e-7","19.99","25.8","0.024","-6.71","-6.71","0","bK18G03S"
"(2021 WF3)","2074-2120","13","3.2e-5","11.41","29.4","0.004","-6.71","-6.94","0","bK21W03F"
"(2016 EV84)","2056-2109","5","2.1e-6","7.41","26.8","0.015","-6.72","-6.83","0","bK16E84V"
"(2006 HE2)","2074-2121","30","2.4e-6","5.03","26.5","0.017","-6.72","-7.27","0","bK06H02E"
"(2018 PU23)","2070-2121","50","1.4e-5","1.78","28.1","0.008","-6.72","-7.33","0","bK18P23U"
"(2019 CM5)","2046-2118","14","8.3e-6","5.40","27.9","0.009","-6.72","-7.35","0","bK19C05M"
"(2020 VK)","2064-2100","27","3.0e-6","20.45","27.8","0.009","-6.72","-7.32","0","bK20V00K"
"(2021 VP11)","2028-2118","99","2.3e-4","8.97","31.8","0.002","-6.72","-7.15","0","bK21V11P"
"(2016 CL18)","2033-2113","5","5.8e-8","11.66","24.0","0.052","-6.73","-6.96","0","bK16C18L"
"(2012 SG58)","2060-2060","1","1.3e-8","15.89","23.1","0.083","-6.73","-6.73","0","bK12S58G"
"(2017 RK2)","2083-2120","2","8.6e-6","7.29","28.0","0.009","-6.74","-6.74","0","bK17R02K"
"(2020 BH3)","2059-2106","8","1.2e-6","7.13","26.1","0.021","-6.74","-7.23","0","bK20B03H"
"(2005 UL6)","2068-2119","6","9.9e-8","12.38","24.5","0.042","-6.74","-6.99","0","bK05U06L"
"(2021 VH2)","2072-2121","88","2.9e-5","1.98","28.6","0.006","-6.74","-7.44","0","bK21V02H"
"(2020 SN5)","2043-2118","10","2.6e-6","13.27","28.2","0.008","-6.76","-6.79","0","bK20S05N"
"(2015 XP)","2067-2067","1","4.8e-7","8.23","25.8","0.024","-6.76","-6.76","0","bK15X00P"
"(2021 WZ1)","2068-2118","7","1.3e-6","13.45","26.7","0.016","-6.76","-7.06","0","bK21W01Z"
"(2006 UJ185)","2052-2118","21","4.2e-6","15.44","27.9","0.009","-6.76","-7.46","0","bK06UI5J"
"(2019 VD)","2087-2121","12","4.2e-6","11.22","27.4","0.011","-6.77","-7.32","0","bK19V00D"
"(2010 NH)","2092-2101","2","5.7e-7","10.29","25.7","0.025","-6.77","-6.77","0","bK10N00H"
"(2014 TL)","2072-2121","15","6.6e-6","10.72","27.8","0.009","-6.78","-6.96","0","bK14T00L"
"(2017 SS12)","2071-2117","22","2.8e-6","10.09","27.1","0.013","-6.78","-7.32","0","bK17S12S"
"(2020 YM1)","2091-2120","32","8.0e-5","3.01","29.6","0.004","-6.78","-7.15","0","bK20Y01M"
"(2008 YF29)","2074-2090","2","1.0e-7","8.64","24.1","0.051","-6.78","-6.90","0","bK08Y29F"
"(2014 WA366)","2104-2121","5","3.3e-6","2.34","26.6","0.016","-6.78","-6.84","0","bK14Wa6A"
"(2021 OE1)","2091-2109","7","1.2e-6","9.91","26.2","0.019","-6.78","-7.15","0","bK21O01E"
"(2021 EP3)","2105-2121","7","1.2e-6","19.71","26.7","0.016","-6.78","-7.16","0","bK21E03P"
"(2013 BR15)","2100-2110","4","2.5e-7","14.09","25.1","0.032","-6.79","-7.09","0","bK13B15R"
"(2021 FU)","2077-2121","13","4.1e-6","9.15","27.4","0.011","-6.79","-7.18","0","bK21F00U"
